Array,Usable Space (TB),Effective Capacity (TB),Over prov (%),Allocated Space (TB),Used Space (TB),Snapshot (TB),Provisioned Space (%),Space Used (%),Snapshot Used (%),Data Reduction (Unit),Array Load,Vendor,Model
SACSA043,224.29,897.16,269.9,605.36,131.83,57.69,67.48,58.78,25.72,3.5,77.26,Pure,FA-C60
SRISA003,93.61,374.44,369.03,345.45,69.64,1.26,92.26,74.39,1.35,2.9,58.33,Pure,FA-X50R3
SACSA044,Empty,null,null,null,807.35,181.19,null,null,null,Empty,Empty,Pure,FlashBlade
SACSA041,Empty,null,null,null,86.93,42.81,null,null,null,Empty,Empty,Pure,FA-X90R3
CGDSA002,36.83,147.32,108.61,40.0,9.4,0.17,27.15,25.52,0.46,2.1,10.5,Pure,FA-X20R3
sgdsa026,120.55,482.2,360.52,434.61,61.87,20.23,90.13,51.32,16.78,7.2,37.23,Pure,FA-X90R3
PNASA202,17.2,68.8,189.23,32.55,1.03,0.15,47.31,5.99,0.87,2.3,9.45,Pure,FA-X20R3
TIMSA012,120.55,482.2,258.82,312.01,66.03,3.34,64.71,54.77,2.77,2.0,43.55,Pure,FA-X50R3
TIMSA011,120.55,482.2,199.11,240.03,55.69,6.84,49.78,46.2,5.67,2.7,50.6,Pure,FA-X50R3
PTPSA001,26.87,107.48,227.02,61.0,18.83,7.25,56.75,70.08,26.98,2.2,29.97,Pure,FA-X20R3
SACSA042,120.54,482.16,295.19,355.82,53.43,14.93,73.8,44.33,12.39,6.2,55.36,Pure,FA-X90R3
PNASA201,17.2,68.8,174.42,30.0,0.03,0.08,43.6,0.17,0.47,6.1,7.21,Pure,FA-X20R3
TIMSA100,11.52,46.08,null,null,failed,failed,null,null,null,1.0,3.11,Pure,?
SACSA040,Empty,null,null,null,67.81,25.97,null,null,null,Empty,Empty,Pure,FA-X90R3
SACSA038,161.58,646.32,339.35,548.32,95.03,26.97,84.84,58.81,16.69,5.0,47.6,Pure,FA-X90R3
DUCSA008,26.83,107.32,261.63,70.2,15.61,4.98,65.41,58.18,18.56,2.4,26.85,Pure,FA-X50R2
PNASA102,13.27,53.08,150.5,19.97,4.68,0.93,37.62,35.27,7.01,2.8,15.58,Pure,FA-X20R3
SNISA002,5.69,22.76,140.6,8.0,1.54,0.23,35.15,27.07,4.04,2.1,9.87,Pure,FA-X20R3
PNASA502,13.27,53.08,150.72,20.0,1.55,0.11,37.68,11.68,0.83,3.0,9.28,Pure,FA-X20R3
SGDSA025,402.48,402.48,null,null,189.72,54.7,null,47.14,13.59,1.0,Empty,Pure,FlashBlade
DUCSA009,224.29,897.16,107.0,239.99,134.34,20.98,26.75,59.9,9.35,1.5,9.37,Pure,FA-C60R3
sacsa045,812.78,3251.12,156.67,1273.38,526.36,49.56,39.17,64.76,6.1,1.4,0,Pure,FA-C60R3
SGDSA029,120.55,482.2,44.32,53.43,53.43,454.53,11.08,44.32,377.05,1.0,1.74,Pure,FA-X90R3
